hour_sync,DeviceId,AtmPressure,CurrentHumidity,CurrentTemperature,Latitude,Longitude,RainfallHourly,WindDirection,WindSpeed,time,temperature_2m,relative_humidity_2m,surface_pressure,hour,month,temp_bias
2025-10-06 13:00:00,1.0,982.0833333333334,99.69166666666668,20.833333333333332,30.968946,76.473746,0.2916666666666667,185.66666666666666,0.9349999999999999,2025-10-06 13:00:00,19.9,89,977.5,13,10,0.9333333333333336
2025-10-06 14:00:00,1.0,980.1076923076923,98.6,20.36923076923077,30.968946,76.473746,0.0,116.48461538461538,1.2461538461538462,2025-10-06 14:00:00,19.7,89,977.7,14,10,0.6692307692307722
2025-10-06 15:00:00,1.0,976.5,83.91666666666667,22.358333333333334,30.968946,76.473746,0.0,221.25833333333333,1.0091666666666665,2025-10-06 15:00:00,20.4,84,977.7,15,10,1.9583333333333357
2025-10-06 16:00:00,1.0,976.0,74.78333333333335,25.166666666666668,30.968946,76.473746,0.0,272.5833333333333,0.7166666666666667,2025-10-06 16:00:00,20.0,83,978.5,16,10,5.166666666666668
2025-10-06 17:00:00,1.0,977.25,79.8,24.616666666666664,30.968946,76.473746,0.0,223.16666666666666,0.4283333333333333,2025-10-06 17:00:00,19.6,85,979.1,17,10,5.016666666666662
2025-10-06 18:00:00,1.0,978.6692307692308,89.66153846153847,22.515384615384615,30.968946,76.473746,0.0,195.0,0.34076923076923077,2025-10-06 18:00:00,19.4,97,979.4,18,10,3.1153846153846168
2025-10-06 19:00:00,1.0,980.1666666666666,96.74166666666667,21.266666666666666,30.968946,76.473746,0.0,188.78333333333333,0.15333333333333335,2025-10-06 19:00:00,19.2,98,979.2,19,10,2.0666666666666664
2025-10-06 20:00:00,1.0,981.0,99.88333333333334,20.116666666666667,30.968946,76.473746,0.0,220.86666666666665,0.2383333333333333,2025-10-06 20:00:00,18.6,98,979.0,20,10,1.5166666666666657
2025-10-06 21:00:00,1.0,981.0,100.0,19.5,30.968946,76.473746,0.0,251.225,0.1575,2025-10-06 21:00:00,19.0,95,979.5,21,10,0.5
2025-10-06 22:00:00,1.0,980.4153846153846,100.0,19.376923076923077,30.968946,76.473746,0.0,193.23846153846154,0.26692307692307693,2025-10-06 22:00:00,18.9,94,979.6,22,10,0.4769230769230788
2025-10-06 23:00:00,1.0,980.0,100.0,19.233333333333334,30.968946,76.473746,0.0,164.625,0.32166666666666666,2025-10-06 23:00:00,18.6,96,979.2,23,10,0.6333333333333329
2025-10-07 00:00:00,1.0,980.8333333333334,100.0,19.474999999999998,30.968952416666667,76.47369833333333,0.0,155.5,0.42333333333333334,2025-10-07 00:00:00,18.4,97,978.7,0,10,1.0749999999999993
2025-10-07 01:00:00,1.0,980.5,100.0,19.758333333333333,30.968953,76.473694,0.375,186.46666666666667,0.41250000000000003,2025-10-07 01:00:00,18.6,96,979.0,1,10,1.1583333333333314
2025-10-07 02:00:00,1.0,980.0076923076923,100.0,19.615384615384617,30.968953,76.473694,0.038461538461538464,218.03846153846155,0.7538461538461539,2025-10-07 02:00:00,19.0,96,979.7,2,10,0.6153846153846168
2025-10-07 03:00:00,1.0,979.9166666666666,99.89166666666667,19.583333333333332,30.968953,76.473694,0.0,215.33333333333334,0.5533333333333333,2025-10-07 03:00:00,20.3,91,980.7,3,10,-0.7166666666666686
2025-10-07 04:00:00,1.0,979.9166666666666,99.85833333333333,19.916666666666668,30.968953,76.473694,0.0,261.825,0.3908333333333333,2025-10-07 04:00:00,21.0,85,981.5,4,10,-1.0833333333333321
2025-10-07 05:00:00,1.0,979.4166666666666,97.02500000000002,20.150000000000002,30.968953,76.473694,0.0,209.65,0.6366666666666667,2025-10-07 05:00:00,21.5,85,981.8,5,10,-1.3499999999999979
2025-10-07 06:00:00,1.0,979.6666666666666,97.88333333333333,19.958333333333332,30.968953,76.473694,0.0,152.60833333333335,0.325,2025-10-07 06:00:00,20.1,87,982.4,6,10,-0.14166666666666927
2025-10-07 07:00:00,1.0,979.5999999999999,96.06923076923077,19.99230769230769,30.968953,76.473694,0.0,211.96153846153845,0.3169230769230769,2025-10-07 07:00:00,19.7,89,981.6,7,10,0.29230769230769127
2025-10-07 08:00:00,1.0,980.75,97.46666666666668,20.241666666666667,30.968953,76.473694,0.0,290.05,0.35166666666666674,2025-10-07 08:00:00,20.4,86,981.0,8,10,-0.15833333333333144
2025-10-07 09:00:00,1.0,981.6666666666666,97.175,20.5,30.968953,76.473694,0.20833333333333334,204.01666666666665,0.42583333333333334,2025-10-07 09:00:00,21.1,85,980.4,9,10,-0.6000000000000014
2025-10-07 10:00:00,1.0,983.0,99.39166666666667,19.883333333333333,30.968953,76.473694,0.20833333333333334,161.76666666666668,0.6308333333333334,2025-10-07 10:00:00,21.3,83,980.5,10,10,-1.4166666666666679
2025-10-07 11:00:00,1.0,983.0230769230768,99.96923076923076,19.330769230769228,30.968953,76.473694,0.4230769230769231,228.02307692307693,0.7261538461538461,2025-10-07 11:00:00,20.8,83,980.4,11,10,-1.469230769230773
2025-10-07 12:00:00,1.0,982.6666666666666,99.89999999999999,18.758333333333333,30.968953,76.473694,2.5833333333333335,213.25,0.6516666666666667,2025-10-07 12:00:00,19.5,93,979.7,12,10,-0.7416666666666671
2025-10-07 13:00:00,1.0,982.8333333333334,100.0,18.5,30.968953,76.473694,4.541666666666667,212.625,0.7708333333333334,2025-10-07 13:00:00,19.4,95,979.6,13,10,-0.8999999999999986
2025-10-07 14:00:00,1.0,982.4166666666666,100.0,17.775000000000002,30.968953,76.473694,9.583333333333334,156.73333333333332,0.8300000000000001,2025-10-07 14:00:00,19.2,95,980.1,14,10,-1.4249999999999972
2025-10-07 15:00:00,1.0,981.8307692307692,99.97692307692309,17.776923076923076,30.968953,76.473694,1.0769230769230769,185.04615384615383,0.9884615384615384,2025-10-07 15:00:00,19.0,95,980.6,15,10,-1.223076923076924
2025-10-07 16:00:00,1.0,981.5,99.99166666666667,17.783333333333335,30.968953,76.473694,2.4166666666666665,128.35,1.4258333333333333,2025-10-07 16:00:00,19.0,93,980.9,16,10,-1.216666666666665
2025-10-07 17:00:00,1.0,981.25,99.75,17.908333333333335,30.968953,76.473694,1.8333333333333333,138.42499999999998,1.47,2025-10-07 17:00:00,18.4,94,981.0,17,10,-0.4916666666666636
2025-10-07 18:00:00,1.0,981.0,99.875,18.2,30.968953,76.473694,0.125,139.13333333333333,0.9049999999999999,2025-10-07 18:00:00,18.0,95,981.7,18,10,0.1999999999999993
2025-10-07 19:00:00,1.0,980.9846153846154,97.43846153846154,18.50769230769231,30.968953,76.473694,0.0,205.21538461538464,0.6153846153846154,2025-10-07 19:00:00,17.5,96,981.4,19,10,1.0076923076923094
2025-10-07 20:00:00,1.0,981.6666666666666,99.49166666666667,18.416666666666668,30.968953,76.473694,0.0,184.6916666666667,0.18416666666666667,2025-10-07 20:00:00,16.9,97,981.5,20,10,1.5166666666666693
2025-10-07 21:00:00,1.0,982.0,100.0,17.75,30.968953,76.473694,0.0,228.86666666666667,0.165,2025-10-07 21:00:00,17.0,97,980.9,21,10,0.75
2025-10-07 22:00:00,1.0,982.75,100.0,17.541666666666668,30.968953,76.473694,0.0,166.725,0.45416666666666666,2025-10-07 22:00:00,17.0,97,980.4,22,10,0.5416666666666679
2025-10-07 23:00:00,1.0,982.9769230769232,100.0,17.06153846153846,30.968953,76.473694,0.0,113.0076923076923,0.22230769230769232,2025-10-07 23:00:00,16.9,95,980.1,23,10,0.16153846153846274
2025-10-08 00:00:00,1.0,983.0,100.0,16.883333333333333,30.968961250000003,76.47371691666667,0.0,214.66666666666666,0.2125,2025-10-08 00:00:00,17.1,95,980.8,0,10,-0.21666666666666856
2025-10-08 01:00:00,1.0,983.0,100.0,16.7,30.968962,76.473719,0.0,233.85,0.25916666666666666,2025-10-08 01:00:00,17.0,97,980.7,1,10,-0.3000000000000007
2025-10-08 02:00:00,1.0,981.75,98.63333333333334,17.733333333333334,30.968962,76.473719,0.0,194.01666666666665,0.4216666666666667,2025-10-08 02:00:00,18.0,94,981.5,2,10,-0.2666666666666657
2025-10-08 03:00:00,1.0,981.0230769230768,99.23076923076923,18.346153846153847,30.968962,76.473719,0.0,167.97692307692307,0.3161538461538462,2025-10-08 03:00:00,19.6,90,982.2,3,10,-1.2538461538461547
2025-10-08 04:00:00,1.0,981.0,100.0,17.433333333333334,30.968962,76.473719,0.0,160.39166666666668,0.3575,2025-10-08 04:00:00,21.4,83,983.0,4,10,-3.966666666666665
2025-10-08 05:00:00,1.0,981.75,100.0,16.858333333333334,30.968962,76.473719,0.0,189.54166666666666,0.2141666666666667,2025-10-08 05:00:00,23.1,75,983.2,5,10,-6.241666666666667
2025-10-08 06:00:00,1.0,982.0,100.0,16.483333333333334,30.968962,76.473719,0.0,150.58333333333334,0.24916666666666668,2025-10-08 06:00:00,24.5,71,982.8,6,10,-8.016666666666666
2025-10-08 07:00:00,1.0,982.0,100.0,16.858333333333334,30.968962,76.473719,0.0,176.79999999999998,0.17333333333333334,2025-10-08 07:00:00,25.4,68,982.4,7,10,-8.541666666666664
2025-10-08 08:00:00,1.0,981.1076923076923,88.48461538461538,20.50769230769231,30.968962,76.473719,0.0,230.89999999999998,0.40230769230769226,2025-10-08 08:00:00,26.1,65,981.3,8,10,-5.592307692307692
2025-10-08 09:00:00,1.0,980.25,77.26666666666667,23.925,30.968962,76.473719,0.0,167.11666666666667,0.29833333333333334,2025-10-08 09:00:00,25.5,67,980.8,9,10,-1.5749999999999993
2025-10-08 10:00:00,1.0,980.4166666666666,72.30833333333334,26.008333333333336,30.968962,76.473719,0.0,183.98333333333335,0.34249999999999997,2025-10-08 10:00:00,24.0,70,980.5,10,10,2.0083333333333364
2025-10-08 11:00:00,1.0,980.0833333333334,65.76666666666667,27.84166666666667,30.968962,76.473719,0.0,172.4333333333333,0.5533333333333333,2025-10-08 11:00:00,23.5,78,980.2,11,10,4.341666666666669
2025-10-08 12:00:00,1.0,979.75,58.541666666666664,29.25,30.968962,76.473719,0.0,212.20833333333334,0.4725,2025-10-08 12:00:00,22.8,87,980.4,12,10,6.449999999999999
2025-10-08 13:00:00,1.0,979.0,55.46666666666667,30.224999999999998,30.968962,76.473719,0.0,152.49166666666667,0.5366666666666666,2025-10-08 13:00:00,21.1,90,980.5,13,10,9.124999999999996
2025-10-08 14:00:00,1.0,978.25,54.11666666666667,29.941666666666666,30.968962,76.473719,0.0,164.33333333333334,0.3658333333333333,2025-10-08 14:00:00,20.3,93,980.9,14,10,9.641666666666666
2025-10-08 15:00:00,1.0,977.9166666666666,53.78333333333334,30.233333333333334,30.968962,76.473719,0.0,151.39166666666668,0.5225000000000001,2025-10-08 15:00:00,19.8,93,981.1,15,10,10.433333333333334
2025-10-08 16:00:00,1.0,978.7538461538461,61.06153846153846,29.446153846153848,30.968962,76.473719,0.0,164.5,0.5261538461538462,2025-10-08 16:00:00,19.0,95,981.4,16,10,10.446153846153848
2025-10-08 17:00:00,1.0,980.5833333333334,75.56666666666668,27.03333333333333,30.968962,76.473719,0.0,189.04166666666666,0.29083333333333333,2025-10-08 17:00:00,18.8,95,981.8,17,10,8.23333333333333
2025-10-08 18:00:00,1.0,981.0,89.22500000000001,24.09166666666667,30.968962,76.473719,0.0,132.5,0.15166666666666667,2025-10-08 18:00:00,19.2,96,982.0,18,10,4.891666666666669
2025-10-08 19:00:00,1.0,981.5,94.83333333333333,22.7,30.968962,76.473719,0.0,236.8166666666667,0.155,2025-10-08 19:00:00,18.9,97,982.3,19,10,3.8000000000000007
2025-10-08 20:00:00,1.0,982.0076923076923,97.5923076923077,21.792307692307695,30.968962,76.473719,0.0,201.03846153846155,0.21307692307692308,2025-10-08 20:00:00,18.5,97,982.3,20,10,3.292307692307695
2025-10-08 21:00:00,1.0,982.75,99.93333333333334,20.783333333333335,30.968962,76.473719,0.0,200.1833333333333,0.18333333333333335,2025-10-08 21:00:00,18.4,97,982.3,21,10,2.3833333333333364
2025-10-08 22:00:00,1.0,983.0,100.0,20.341666666666665,30.968962,76.473719,0.0,173.91666666666666,0.2916666666666667,2025-10-08 22:00:00,17.5,100,982.4,22,10,2.841666666666665
2025-10-08 23:00:00,1.0,983.0,100.0,19.849999999999998,30.968962,76.473719,0.0,175.15,0.21416666666666664,2025-10-08 23:00:00,17.8,100,982.6,23,10,2.049999999999997
2025-10-09 00:00:00,1.0,983.0230769230768,100.0,19.292307692307695,30.96894723076923,76.47373007692308,0.0,206.46153846153845,0.2753846153846154,2025-10-09 00:00:00,17.6,99,983.0,0,10,1.6923076923076934
2025-10-09 01:00:00,1.0,983.0,100.0,18.966666666666665,30.968946,76.473731,0.0,215.85,0.20333333333333334,2025-10-09 01:00:00,17.1,100,983.4,1,10,1.8666666666666636
2025-10-09 02:00:00,1.0,983.0,100.0,18.708333333333332,30.968946,76.473731,0.0,232.49166666666667,0.27666666666666667,2025-10-09 02:00:00,17.7,99,983.9,2,10,1.0083333333333329
2025-10-09 03:00:00,1.0,983.0,100.0,18.349999999999998,30.968946,76.473731,0.0,229.39166666666665,0.26833333333333337,2025-10-09 03:00:00,19.5,85,984.8,3,10,-1.1500000000000021
2025-10-09 04:00:00,1.0,983.1923076923077,100.0,17.93846153846154,30.968946,76.473731,0.0,224.74615384615385,0.2323076923076923,2025-10-09 04:00:00,21.8,73,985.5,4,10,-3.861538461538462
2025-10-09 05:00:00,1.0,984.0,100.0,17.566666666666666,30.968946,76.473731,0.0,218.45000000000002,0.24,2025-10-09 05:00:00,23.9,64,985.4,5,10,-6.333333333333332
2025-10-09 06:00:00,1.0,984.1666666666666,100.0,17.40833333333333,30.968946,76.473731,0.0,193.79999999999998,0.17333333333333334,2025-10-09 06:00:00,25.8,63,985.0,6,10,-8.39166666666667
2025-10-09 07:00:00,1.0,985.0,99.60833333333333,17.966666666666665,30.968946,76.473731,0.0,225.00833333333333,0.5,2025-10-09 07:00:00,27.0,62,984.3,7,10,-9.033333333333335
2025-10-09 08:00:00,1.0,984.0,92.25833333333333,21.008333333333333,30.968946,76.473731,0.0,182.11666666666667,0.4283333333333334,2025-10-09 08:00:00,27.1,60,983.8,8,10,-6.091666666666669
2025-10-09 09:00:00,1.0,983.7692307692307,84.52307692307694,23.569230769230767,30.968946,76.473731,0.0,160.62307692307692,0.43,2025-10-09 09:00:00,27.4,57,982.7,9,10,-3.8307692307692314
2025-10-09 10:00:00,1.0,982.5833333333334,72.09166666666667,25.558333333333334,30.968946,76.473731,0.0,133.73333333333332,0.49500000000000005,2025-10-09 10:00:00,27.1,55,982.1,10,10,-1.5416666666666679
2025-10-09 11:00:00,1.0,981.8333333333334,63.56666666666667,27.458333333333332,30.968946,76.473731,0.0,116.75,0.5491666666666667,2025-10-09 11:00:00,26.2,63,981.6,11,10,1.2583333333333329
2025-10-09 12:00:00,1.0,981.0833333333334,58.775000000000006,28.625,30.968946,76.473731,0.0,120.40833333333335,0.82,2025-10-09 12:00:00,24.8,68,981.3,12,10,3.8249999999999993
2025-10-09 13:00:00,1.0,980.1923076923077,56.93076923076923,29.4,30.968946,76.473731,0.0,162.1153846153846,0.6546153846153846,2025-10-09 13:00:00,23.6,69,981.3,13,10,5.799999999999997
2025-10-09 14:00:00,1.0,980.0,57.70000000000001,29.96666666666667,30.968946,76.473731,0.0,197.65,0.8983333333333333,2025-10-09 14:00:00,22.3,75,981.7,14,10,7.666666666666668
2025-10-09 15:00:00,1.0,980.0,58.10833333333334,29.84166666666667,30.968946,76.473731,0.0,131.78333333333333,0.9883333333333333,2025-10-09 15:00:00,21.2,81,981.9,15,10,8.64166666666667
2025-10-09 16:00:00,1.0,980.0,60.88333333333333,29.433333333333334,30.968946,76.473731,0.0,189.73333333333335,0.6958333333333333,2025-10-09 16:00:00,20.8,84,981.7,16,10,8.633333333333333
2025-10-09 17:00:00,1.0,981.4000000000001,71.25384615384615,27.73076923076923,30.968946,76.473731,0.0,134.16153846153847,0.37846153846153846,2025-10-09 17:00:00,20.5,85,981.6,17,10,7.23076923076923
2025-10-09 18:00:00,1.0,982.0,81.49166666666667,24.708333333333332,30.968946,76.473731,0.0,148.85,0.3741666666666667,2025-10-09 18:00:00,20.5,89,981.5,18,10,4.208333333333332
2025-10-09 19:00:00,1.0,982.75,86.88333333333333,23.3,30.968946,76.473731,0.0,136.95833333333334,0.29583333333333334,2025-10-09 19:00:00,20.5,88,981.4,19,10,2.8000000000000007
2025-10-09 20:00:00,1.0,983.0,91.70833333333333,22.3,30.968946,76.473731,0.0,168.50833333333333,0.2675,2025-10-09 20:00:00,20.2,88,981.3,20,10,2.1000000000000014
2025-10-09 21:00:00,1.0,982.9923076923077,97.02307692307694,21.107692307692307,30.968946,76.473731,0.0,130.24615384615385,0.21538461538461537,2025-10-09 21:00:00,19.9,88,980.9,21,10,1.2076923076923087
2025-10-09 22:00:00,1.0,982.0,95.10000000000001,20.783333333333335,30.968946,76.473731,0.0,209.35,0.3333333333333333,2025-10-09 22:00:00,19.5,88,980.7,22,10,1.283333333333335
2025-10-09 23:00:00,1.0,982.8333333333334,98.88333333333334,20.083333333333332,30.968946,76.473731,0.0,181.20000000000002,0.12583333333333332,2025-10-09 23:00:00,19.0,89,980.4,23,10,1.0833333333333321
2025-10-10 00:00:00,1.0,982.8333333333334,100.0,19.433333333333334,30.96894875,76.47369249999998,0.0,149.9,0.27666666666666667,2025-10-10 00:00:00,18.5,92,981.1,0,10,0.9333333333333336
